ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_1,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,pestis
ASV_2,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,alpinus
ASV_3,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,tsuruhatensis
ASV_4,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,umsongensis
ASV_5,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,oxydans
ASV_6,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Microbacteriaceae,Curtobacterium,flaccumfaciens
ASV_7,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,vagans
ASV_8,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,picturae
ASV_9,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Stenotrophomonas,rhizophila
ASV_10,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,maritimus
ASV_11,Bacteria,Actinomycetota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,acnes
ASV_12,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Nocardiaceae,Rhodococcus,fascians
ASV_13,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,pascens
ASV_14,Bacteria,Bacillota,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,saprophyticus
ASV_15,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Jeotgalibacillus,marinus
ASV_16,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Micrococcaceae,Citricoccus,alkalitolerans
ASV_17,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Terribacillus,goriensis
ASV_18,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,NA
ASV_19,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Micrococcaceae,Paeniglutamicibacter,sp.
ASV_20,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Planococcus,ruber
ASV_21,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,faecalis
ASV_22,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Microbacteriaceae,Curtobacterium,sp.
ASV_23,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,inhibens
ASV_24,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,velezensis
ASV_25,Bacteria,Actinomycetota,Actinobacteria,Mycobacteriales,Nocardiaceae,Rhodococcus,erythropolis
ASV_26,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,rhombi
ASV_27,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,paraoxydans
ASV_28,Bacteria,Actinomycetota,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,agilis
ASV_29,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Psychrobacillus,sp.
