ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_1,NA,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida_buenavistaensis
ASV_2,NA,Chordata,Mammalia,Chiroptera,Vespertilionidae,Chalinolobus,Chalinolobus_tuberculatus
ASV_3,NA,Ascomycota,Pichiomycetes,Serinales,Metschnikowiaceae,Clavispora,Clavispora_lusitaniae
ASV_4,NA,Chordata,Mammalia,Chiroptera,Vespertilionidae,Chalinolobus,Chalinolobus_tuberculatus
ASV_5,NA,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor_lusitanicus
ASV_6,NA,NA,NA,NA,NA,NA,NA
ASV_7,NA,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor_lusitanicus
ASV_8,NA,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Apophysomyces,Apophysomyces_elegans
ASV_9,NA,NA,NA,NA,NA,NA,NA
ASV_10,NA,Arthropoda,Insecta,Hemiptera,Flatidae,Petrusa,Petrusa_epilepsis
ASV_11,NA,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida_buenavistaensis
ASV_12,NA,Arthropoda,Insecta,Diptera,Limoniidae,Symplecta,Symplecta_stictica
ASV_13,NA,Arthropoda,Insecta,Lepidoptera,Plutellidae,Plutella,Plutella_xylostella
ASV_14,NA,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Ophiostoma,Ophiostoma_piceae
ASV_15,NA,NA,NA,NA,NA,NA,NA
ASV_16,NA,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor_lusitanicus
ASV_17,NA,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida_buenavistaensis
ASV_18,NA,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor_lusitanicus
ASV_19,NA,NA,NA,NA,NA,NA,NA
ASV_20,NA,Ascomycota,Pichiomycetes,Serinales,Metschnikowiaceae,Clavispora,Clavispora_lusitaniae
ASV_21,NA,NA,NA,NA,NA,NA,NA
ASV_22,NA,NA,NA,NA,NA,NA,NA
ASV_23,NA,Ascomycota,Leotiomycetes,Thelebolales,Thelebolaceae,Pseudogymnoascus,Pseudogymnoascus_destructans
ASV_24,NA,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida_buenavistaensis
ASV_25,NA,NA,NA,NA,NA,NA,NA
ASV_26,NA,Arthropoda,Insecta,Diptera,Psychodidae,NA,Psychodidae_sp.
ASV_27,NA,Arthropoda,Insecta,Coleoptera,NA,NA,Coleoptera_sp._INDOBIOSYS-CCDB26091-D10
ASV_28,NA,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Angiostrongylus,Angiostrongylus_costaricensis
ASV_29,NA,Arthropoda,Insecta,NA,NA,NA,Endopterygota_sp._NZAC_03009123
ASV_30,NA,Ascomycota,Leotiomycetes,Thelebolales,Thelebolaceae,Pseudogymnoascus,Pseudogymnoascus_pannorum
ASV_31,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_canescens
ASV_32,NA,Arthropoda,Insecta,Lepidoptera,Crambidae,Orocrambus,Orocrambus_flexuosellus
ASV_33,NA,Basidiomycota,Exobasidiomycetes,Microstromatales,NA,NA,uncultured_Jaminaea
ASV_34,NA,Ascomycota,Dipodascomycetes,Dipodascales,Trichomonascaceae,Blastobotrys,Blastobotrys_aristatus
ASV_35,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_digitatum
ASV_36,NA,NA,NA,NA,NA,NA,NA
ASV_37,NA,NA,NA,NA,NA,NA,NA
ASV_38,NA,NA,NA,NA,NA,NA,NA
ASV_39,NA,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida_buenavistaensis
ASV_40,NA,Ascomycota,Leotiomycetes,Thelebolales,Thelebolaceae,Pseudogymnoascus,Pseudogymnoascus_pannorum
ASV_41,NA,Ascomycota,Leotiomycetes,NA,NA,Leohumicola,Leohumicola_incrustata
ASV_42,NA,NA,NA,NA,NA,NA,NA
ASV_43,NA,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos_indicus
ASV_44,NA,Ascomycota,Leotiomycetes,NA,NA,Leohumicola,Leohumicola_verrucosa
ASV_45,NA,Ascomycota,Eurotiomycetes,Onygenales,Arachnomycetaceae,Arachnomyces,Arachnomyces_peruvianus
ASV_46,NA,Arthropoda,Insecta,Lepidoptera,NA,NA,Lepidoptera_sp._NZAC_03013845
ASV_47,NA,Arthropoda,Insecta,Coleoptera,NA,NA,Coleoptera_sp._INDOBIOSYS-CCDB26091-D10
ASV_48,NA,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Sydowia,Sydowia_polyspora
ASV_49,NA,Arthropoda,Insecta,Lepidoptera,NA,NA,Lepidoptera_sp._NZAC_03011646
ASV_50,NA,Chordata,Mammalia,Chiroptera,Vespertilionidae,Chalinolobus,Chalinolobus_tuberculatus
ASV_51,NA,Ascomycota,Leotiomycetes,NA,NA,Leohumicola,Leohumicola_minima
ASV_52,NA,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Acrodontium,Acrodontium_crateriforme
ASV_53,NA,Ascomycota,Dothideomycetes,NA,NA,NA,Dothideomycetes_sp._NU30
ASV_54,NA,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula_mucilaginosa
ASV_55,NA,Ascomycota,Leotiomycetes,Thelebolales,Thelebolaceae,Pseudogymnoascus,Pseudogymnoascus_destructans
ASV_56,NA,Ascomycota,Leotiomycetes,NA,NA,Leohumicola,Leohumicola_verrucosa
ASV_57,NA,Ascomycota,Leotiomycetes,Thelebolales,Thelebolaceae,Pseudogymnoascus,Pseudogymnoascus_pannorum
ASV_58,NA,Ascomycota,Leotiomycetes,NA,NA,Leohumicola,Leohumicola_lenta
ASV_59,NA,Microsporidia,NA,NA,Pleistophoridae,Vavraia,Vavraia_culicis
ASV_60,NA,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor_piriformis
ASV_61,NA,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos_taurus
ASV_62,NA,Evosea,Eumycetozoa,Trichiida,Trichiidae,Trichia,Trichia_varia
ASV_63,NA,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Pseudofabraea,Pseudofabraea_citricarpa
ASV_64,NA,Ascomycota,Leotiomycetes,NA,NA,Leohumicola,Leohumicola_minima
ASV_65,NA,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Pseudofabraea,Pseudofabraea_citricarpa
ASV_66,NA,Ascomycota,Leotiomycetes,Thelebolales,Thelebolaceae,Pseudogymnoascus,Pseudogymnoascus_destructans
ASV_67,NA,Arthropoda,Insecta,Lepidoptera,NA,NA,Lepidoptera_sp._NZAC_03011646
ASV_68,NA,Arthropoda,Insecta,Hemiptera,Halimococcidae,Colobopyga,Colobopyga_pritchardiae
ASV_69,NA,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Pseudofabraea,Pseudofabraea_citricarpa
ASV_70,NA,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma_atroviride
ASV_71,NA,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora_fuligena
ASV_72,NA,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Arthrocladium,Arthrocladium_fulminans
ASV_73,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_citrinum
ASV_74,NA,Ascomycota,Pichiomycetes,Serinales,Metschnikowiaceae,Clavispora,Clavispora_lusitaniae
ASV_75,NA,NA,NA,NA,NA,NA,NA
ASV_76,NA,Evosea,Eumycetozoa,Trichiida,Trichiidae,Trichia,Trichia_scabra
ASV_77,NA,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,Cladophialophora_bantiana
ASV_78,NA,Nematoda,Chromadorea,Rhabditida,Aphelenchoididae,Bursaphelenchus,Bursaphelenchus_platzeri
ASV_79,NA,Arthropoda,Insecta,Diptera,Hybotidae,Euhybus,Euhybus_sp._BIOUG14781-C02
ASV_80,NA,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor_lusitanicus
ASV_81,NA,Ascomycota,Leotiomycetes,NA,NA,Leohumicola,Leohumicola_sp.
ASV_82,NA,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida_buenavistaensis
ASV_83,NA,Ascomycota,Pichiomycetes,Serinales,Debaryomycetaceae,Candida,Candida_buenavistaensis
ASV_84,NA,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Ceratocystiopsis,Ceratocystiopsis_pallidobrunnea
ASV_85,NA,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium_sp.
ASV_86,NA,Arthropoda,Insecta,NA,NA,NA,Endopterygota_sp._NZAC_03009123
ASV_87,NA,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,Rhodotorula_taiwanensis
ASV_88,NA,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium_citrinum
ASV_89,NA,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium_sp.
ASV_90,NA,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Sydowia,Sydowia_polyspora
