ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_1,Bacteria,Bacillota,Bacilli,Lactobacillales,Vagococcaceae,Vagococcus,Vagococcus_teuberi
ASV_2,Bacteria,Pseudomonadota,Gammaproteobacteria,Cardiobacteriales,Wohlfahrtiimonadaceae,Ignatzschineria,Ignatzschineria_ureiclastica
ASV_3,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Dysgonomonas_uncultured_Dysgonomonas_sp.
ASV_4,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,Providencia_NA
ASV_5,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Dysgonomonas_sp.
ASV_6,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Morganella,Morganella_morganii
ASV_7,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_bereziniae
ASV_8,Bacteria,Pseudomonadota,Gammaproteobacteria,Cardiobacteriales,Wohlfahrtiimonadaceae,Ignatzschineria,Ignatzschineria_indica
ASV_9,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Providencia,Providencia_alcalifaciens
ASV_10,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Dysgonomonas_sp
ASV_11,Bacteria,Actinomycetota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_adolescentis
ASV_12,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,Escherichia-Shigella_coli
ASV_13,Bacteria,Cyanobacteriota,Cyanobacteriia,Chloroplast,NA,NA,NA_NA
ASV_14,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Dysgonomonas_NA
ASV_15,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_NA
ASV_16,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_bereziniae
ASV_17,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter_freundii
