ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_1,Fungi,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Pseudopanax,Pseudopanax_ferox
ASV_2,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris_cynodontis
ASV_3,Fungi,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Bellis,Bellis_perennis
ASV_4,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus_pulverulenta
ASV_5,Fungi,Ascomycota,Pichiomycetes,Pichiales,Pichiaceae,Pichia,Pichia_kudriavzevii
ASV_6,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudopithomyces,Pseudopithomyces_chartarum
ASV_7,Fungi,Streptophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus_sardous
ASV_8,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Epicoccum,Epicoccum_andropogonis
ASV_9,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus_nicholii
ASV_10,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Microsphaeropsis,Microsphaeropsis_sp.
ASV_11,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Leptospermum,Leptospermum_scoparium
ASV_12,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Rhynchogastremaceae,Papiliotrema,Papiliotrema_nemorosa
ASV_13,Fungi,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Hedera,Hedera_helix
ASV_14,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Curvularia_coatesiae
ASV_15,Fungi,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus_saligna
ASV_16,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris_cynodontis
ASV_17,Fungi,Ascomycota,Pichiomycetes,Pichiales,Pichiaceae,Pichia,Pichia_occidentalis
ASV_18,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Epicoccum,Epicoccum_pimprinum
ASV_19,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_inflata
ASV_20,Plantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Bellis,Bellis_perennis
ASV_21,Plantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Crepis,Crepis_capillaris
ASV_22,Plantae,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Pseudopanax,Pseudopanax_ferox
ASV_23,Plantae,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus_robusta
ASV_24,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudopithomyces,Pseudopithomyces_chartarum
ASV_25,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Lachancea,Lachancea_kluyveri
ASV_26,Plantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Bellis,Bellis_perennis
ASV_27,Plantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Bellis,Bellis_perennis
ASV_28,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Arxiozyma,Arxiozyma_pintolopesii
ASV_29,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium_sp.
ASV_30,Plantae,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus_botryoides
ASV_31,Plantae,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae,Veronica,Veronica_speciosa
ASV_32,Plantae,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Hoheria,Hoheria_aff._sexstylosa_SJW-2009
ASV_33,Plantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Crepis,Crepis_capillaris
ASV_34,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,Curvularia_coatesiae
ASV_35,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,NA
ASV_36,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Pichia,Pichia_eremophila
ASV_37,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris_drechsleri
ASV_38,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania,Kazachstania_heterogenica
ASV_39,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium_herbarum
