"ASV","Contaminant","Phylum","Class","Order","Family","Genus","Species"
"ASV_1",FALSE,"Chordata","Aves","Sphenisciformes","Spheniscidae","Eudyptula","Eudyptula minor"
"ASV_2",FALSE,"Chordata","Aves","Sphenisciformes","Spheniscidae","Eudyptula","Eudyptula minor"
"ASV_4",FALSE,"Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis"
"ASV_6",FALSE,"Chordata","Aves","Sphenisciformes","Spheniscidae","Eudyptula","Eudyptula minor"
"ASV_8",FALSE,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aggregatimonas","Aggregatimonas sangjinii"
"ASV_10",FALSE,"Nematoda","Chromadorea","Rhabditida","Rhabditidae","Rhabditis","Rhabditis sp."
"ASV_13",FALSE,"Chordata","Aves","Sphenisciformes","Spheniscidae","Eudyptula","Eudyptula minor"
"ASV_14",FALSE,"Nematoda","Chromadorea","Rhabditida","Rhabditidae","Oscheius","Oscheius sp."
"ASV_15",FALSE,"Arthropoda","Arachnida","Trombidiformes","Eupodidae","","Eupodidae sp. BOLD:ACX7636"
"ASV_16",FALSE,"Nematoda","Chromadorea","Rhabditida","Rhabditidae","Oscheius","Oscheius sp."
"ASV_17",FALSE,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium sp. KBS0721"
"ASV_21",FALSE,"Apicomplexa","Conoidasida","Eucoccidiorida","Eimeriidae","Eimeria","Eimeria sp."
"ASV_23",FALSE,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Maribacter","Maribacter sp. BPC-D8"
"ASV_24",FALSE,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aggregatimonas","Aggregatimonas sangjinii"
"ASV_26",FALSE,"Platyhelminthes","Cestoda","Cyclophyllidea","Taeniidae","Versteria","Versteria mustelae"
"ASV_27",FALSE,"Arthropoda","Arachnida","Sarcoptiformes","Acaridae","Tyrophagus","Tyrophagus curvipenis"
"ASV_33",FALSE,"Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis"
"ASV_34",FALSE,"Arthropoda","Collembola","Entomobryomorpha","Entomobryidae","Entomobrya","Entomobrya sp. HB0852"
"ASV_36",FALSE,"Basidiomycota","Agaricomycetes","Polyporales","Meripilaceae","Rigidoporus","Rigidoporus microporus"
"ASV_37",FALSE,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Winogradskyella","Winogradskyella schleiferi"
"ASV_38",FALSE,"","Synurophyceae","Synurales","Mallomonadaceae","Synura","Synura petersenii"
"ASV_39",FALSE,"Arthropoda","Insecta","Siphonaptera","Rhopalopsyllidae","Parapsyllus","Parapsyllus humboldti"
"ASV_41",FALSE,"Ascomycota","Sordariomycetes","Amphisphaeriales","Apiosporaceae","Apiospora","Apiospora arundinis"
"ASV_42",FALSE,"Arthropoda","Insecta","Lepidoptera","Tineidae","Monopis","Monopis crocicapitella"
"ASV_44",FALSE,"Platyhelminthes","Trematoda","Strigeidida","Schistosomatidae","","Schistosomatidae sp. W829"
"ASV_45",FALSE,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium sp. NG2"
"ASV_46",FALSE,"Rotifera","Eurotatoria","Adinetida","Adinetidae","Adineta","Adineta sp. MX.1.1"
"ASV_47",FALSE,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aequorivita","Aequorivita sp. F7"
"ASV_49",FALSE,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium inviolabile"
"ASV_51",FALSE,"Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ASV_55",FALSE,"Rotifera","Eurotatoria","","","","Bdelloidea environmental sample"
"ASV_56",FALSE,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aequorivita","Aequorivita ciconiae"
"ASV_57",FALSE,"Chordata","Aves","Sphenisciformes","Spheniscidae","Eudyptula","Eudyptula minor"
"ASV_58",FALSE,"Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis"
"ASV_61",FALSE,"Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis"
"ASV_63",FALSE,"Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis"
"ASV_64",FALSE,"Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis"
"ASV_67",FALSE,"Chordata","Aves","Sphenisciformes","Spheniscidae","Eudyptula","Eudyptula minor"
"ASV_68",FALSE,"Apicomplexa","Conoidasida","Eucoccidiorida","Eimeriidae","Eimeria","Eimeria sp."
"ASV_71",FALSE,"Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis"
"ASV_74",FALSE,"Nematoda","Chromadorea","Rhabditida","Rhabditidae","Oscheius","Oscheius sp."
"ASV_75",FALSE,"Ascomycota","Sordariomycetes","Ophiostomatales","Ophiostomataceae","Ceratocystiopsis","Ceratocystiopsis pallidobrunnea"
"ASV_76",FALSE,"Tubulinea","Elardia","Arcellinida","Netzeliidae","Cucurbitella","Cucurbitella mespiliformis"
"ASV_78",FALSE,"Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis"
"ASV_80",FALSE,"Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis"
"ASV_81",FALSE,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","","uncultured Flavobacteriaceae bacterium"
"ASV_83",FALSE,"Ascomycota","Sordariomycetes","Amphisphaeriales","Sporocadaceae","Neopestalotiopsis","Neopestalotiopsis cubana"
"ASV_84",FALSE,"Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Apophysomyces","Apophysomyces elegans"
"ASV_86",FALSE,"Arthropoda","Insecta","Diptera","Chloropidae","","Chloropidae sp."
"ASV_87",FALSE,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium marginilacus"
"ASV_88",FALSE,"Arthropoda","Insecta","Diptera","Psychodidae","Psychoda","Psychoda sigma"
"ASV_92",FALSE,"Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis"
"ASV_93",FALSE,"Arthropoda","Insecta","Siphonaptera","Rhopalopsyllidae","Parapsyllus","Parapsyllus humboldti"
"ASV_94",FALSE,"Nematoda","Chromadorea","Rhabditida","Neodiplogasteridae","Koerneria","Koerneria sp. RS1982"
"ASV_95",FALSE,"Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis"
"ASV_96",FALSE,"Apicomplexa","Conoidasida","Eucoccidiorida","Eimeriidae","Eimeria","Eimeria sp."
"ASV_97",FALSE,"Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis"
"ASV_98",FALSE,"Nematoda","Chromadorea","Rhabditida","Rhabditidae","Teratorhabditis","Teratorhabditis synpapillata"
"ASV_100",FALSE,"Chordata","Aves","Sphenisciformes","Spheniscidae","Eudyptula","Eudyptula minor"
"ASV_101",FALSE,"Ascomycota","Leotiomycetes","Helotiales","Mollisiaceae","Phialocephala","Phialocephala europaea"
"ASV_102",FALSE,"Ascomycota","Leotiomycetes","","","Leohumicola","Leohumicola incrustata"
"ASV_103",FALSE,"Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis"
"ASV_105",FALSE,"Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Acrodontium","Acrodontium crateriforme"
"ASV_107",FALSE,"Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis"
"ASV_109",FALSE,"Arthropoda","Insecta","Coleoptera","Curculionidae","Curculio","Curculio sp. 2 ZM-2022a"
"ASV_110",FALSE,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","","uncultured Flavobacteriaceae bacterium"
"ASV_112",FALSE,"Platyhelminthes","Trematoda","Strigeidida","Schistosomatidae","","Schistosomatidae sp. W829"
"ASV_113",FALSE,"Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros sp. MBTD-CMFRI-S045"
"ASV_114",FALSE,"Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis"
"ASV_116",FALSE,"Rotifera","Eurotatoria","Adinetida","Adinetidae","Adineta","Adineta vaga"
"ASV_117",FALSE,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Maribacter","Maribacter sp. BPC-D8"
"ASV_118",FALSE,"Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Acrodontium","Acrodontium crateriforme"
"ASV_119",FALSE,"Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis"
"ASV_121",FALSE,"Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora bantiana"
"ASV_123",FALSE,"Chordata","Aves","Sphenisciformes","Spheniscidae","Eudyptula","Eudyptula minor"
"ASV_124",FALSE,"Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis"
"ASV_125",FALSE,"Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis"
"ASV_126",FALSE,"Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis"
"ASV_130",FALSE,"Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Amanita thiersii"
"ASV_132",FALSE,"Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis"
"ASV_135",FALSE,"Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis"
"ASV_136",FALSE,"Mollusca","Gastropoda","Cycloneritida","Helicinidae","Pleuropoma","Pleuropoma jana"
"ASV_137",FALSE,"Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum destructivum"
"ASV_140",FALSE,"Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","","uncultured Flavobacteriaceae bacterium"
"ASV_141",FALSE,"Arthropoda","Collembola","Entomobryomorpha","Isotomidae","Desoria","Desoria sp. BOLD:AAA7162"
"ASV_142",FALSE,"Discosea","","Longamoebia","Acanthamoebidae","Acanthamoeba","Acanthamoeba comandoni"
"ASV_144",FALSE,"Platyhelminthes","Catenulida","","Stenostomidae","Stenostomum","Stenostomum cf. simplex AW-2018"
"ASV_145",FALSE,"","Phaeophyceae","Ectocarpales","Chordariaceae","Haplogloia","Haplogloia sp. 4GWS"
"ASV_146",FALSE,"Chordata","Aves","Sphenisciformes","Spheniscidae","Eudyptula","Eudyptula minor"
"ASV_147",FALSE,"Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium citrinum"
