,Phylum,Class,Order,Family,Genus,Species,Terrain
ASV_1,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptula,Eudyptula_minor,Both
ASV_2,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptula,Eudyptula_minor,Both
ASV_3,NA,NA,NA,NA,NA,NA,NA
ASV_4,Chordata,Actinopteri,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia_affinis,Aquatic
ASV_5,NA,NA,NA,NA,NA,NA,NA
ASV_6,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptula,Eudyptula_minor,Both
ASV_7,NA,NA,NA,NA,NA,NA,NA
ASV_8,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aggregatimonas,Aggregatimonas_sangjinii,Aquatic
ASV_9,NA,NA,NA,NA,NA,NA,NA
ASV_10,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Rhabditis,Rhabditis_sp.,Terrestrial
ASV_11,NA,NA,NA,NA,NA,NA,NA
ASV_12,Arthropoda,NA,NA,NA,NA,NA,NA
ASV_13,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptula,Eudyptula_minor,Both
ASV_14,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Oscheius,Oscheius_sp.,Terrestrial
ASV_15,Arthropoda,Insecta,Trombidiformes,Eupodidae,NA,Eupodidae_sp._BOLD:ACX7636,Terrestrial
ASV_16,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Oscheius,Oscheius_sp.,Terrestrial
ASV_17,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium_sp._KBSNA721,Both
ASV_18,NA,NA,NA,NA,NA,NA,NA
ASV_19,NA,NA,NA,NA,NA,NA,NA
ASV_20,NA,NA,NA,NA,NA,NA,NA
ASV_21,Apicomplexa,Conoidasida,Eucoccidiorida,Eimeriidae,Eimeria,Eimeria_sp.,Both
ASV_22,NA,NA,NA,NA,NA,NA,NA
ASV_23,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter,Maribacter_sp._BPC-D8,Aquatic
ASV_24,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aggregatimonas,Aggregatimonas_sangjinii,Aquatic
ASV_25,NA,NA,NA,NA,NA,NA,NA
